enunciado;alternativaA;alternativaB;alternativaC;alternativaD;correta;nivel
Qual e o nome verdadeiro do Homem de Ferro?;Bruce Wayne;Peter Parker;Tony Stark;Steve Rogers;C;1
Qual e o super-heroi conhecido por escalar paredes e lancar teias?;Hulk;Thor;Pantera Negra;Homem-Aranha;D;1
Quem e o alter ego do Hulk?;Bruce Wayne;Bruce Banner;Clark Kent;Peter Parker;B;1
Quem lidera os Vingadores?;Homem-Formiga;Capitao America;Deadpool;Wolverine;B;1
Qual o nome da pedra que da vida a Visao?;Pedra da Alma;Pedra do Poder;Joia da Mente;Pedra do Tempo;C;1
Quem e o pai de Gamora em (Guardioes da Galaxia)?;Thanos;Loki;Ego;Ronan;A;1
Qual o nome verdadeiro do Pantera Negra?;T'Challa;T'Chaka;M'Baku;Okoye;A;1
Quem e o melhor amigo do Capitao America?;Sam Wilson;Bucky Barnes;Nick Fury;Peter Parker;B;1
Qual Vingador e um bilionario excentrico?;Thor;Hulk;Homem de Ferro;Doutor Estranho;C;1
Quem e o irmao adotivo do Thor?;Loki;Odin;Heimdall;Rocket;A;1
Quem foi o primeiro super-heroi a se juntar aos Vingadores no cinema?;Homem de Ferro;Thor;Hulk;Viúva Negra;A;1
O que a Viuva Negra usa como arma?;Espada;Pistolas;Martelo;Escudo;B;1
Quem e conhecido como o "Soldado Invernal"?;Sam Wilson;Bucky Barnes;Steve Rogers;Clint Barton;B;1
Qual e o nome da nacao natal do Pantera Negra?;Genosha;Asgard;Wakanda;Sokovia;C;1
Quem e o arqui-inimigo do Homem-Aranha?;Coringa;Duende Verde;Ultron;Thanos;B;1
Quem e conhecido como "Mercenario Tagarela"?;Deadpool;Wolverine;Gaviao Arqueiro;Loki;A;1
Quem foi o criador do escudo do Capitao America?;Tony Stark;Howard Stark;Hank Pym;Bruce Banner;B;1
Qual e o nome verdadeiro do Doutor Estranho?;Stephen King;Stephen Strange;Stephen Hawking;Stephen Curry;B;1
Qual grupo e formado por Rocket, Groot, Gamora e Peter Quill?;Os Defensores;Os Vingadores;Guardiões da Galaxia;X-Men;C;1
Quem e conhecido como o (Deus da Trapaca)?;Thor;Loki;Odin;Ultron;B;1
Qual o nome do martelo de Thor?;Anduril;Mjolnir;Excalibur;Gungnir;B;2
Quem e o vilao principal em (Vingadores: Guerra Infinita)?;Ultron;Thanos;Loki;Galactus;B;2
Qual heroi e conhecido como o (Homem-Aranha)?;Bruce Wayne;Peter Parker;Clark Kent;Tony Stark;B;2
Quem e o bilionario que se torna o Homem de Ferro?;Tony Stark;Steve Rogers;Bruce Banner;Clint Barton;A;2
O Hulk e conhecido por se transformar quando esta…;Feliz;Nervoso;Cansado;Triste;B;2
Quem e o lider dos Vingadores?;Capitao America;Thor;Homem-Aranha;Visao;A;2
Qual e o nome real da Viuva Negra?;Carol Danvers;Natasha Romanoff;Wanda Maximoff;Jean Grey;B;2
Qual pedra do infinito e roxa?;Pedra do Espaco;Pedra da Mente;Pedra do Poder;Pedra do Tempo;C;2
Quem e o pai do Pantera Negra?;T’Chaka;M’Baku;Zuri;Killmonger;A;2
Qual personagem da Marvel usa um traje que manipula o tamanho do corpo?;Thor;Homem-Formiga;Homem de Ferro;Visao;B;2
Quem e o melhor amigo do Capitao America?;Sam Wilson;Bucky Barnes;Tony Stark;Clint Barton;B;2
Qual e o nome do reino de Thor?;Wakanda;Asgard;Latveria;Sokovia;B;2
Quem e o heroi que assume a identidade de Falcao nos filmes?;Sam Wilson;Rhodey;Nick Fury;Scott Lang;A;2
Quem e o vilao do primeiro filme dos Vingadores?;Thanos;Ultron;Loki;Dormammu;C;2
Qual super-heroi e conhecido como o (Sentinela da Liberdade)?;Thor;Capitao America;Homem de Ferro;Hulk;B;2
Qual e o nome verdadeiro do Gaviao Arqueiro?;Clint Barton;Scott Lang;Stephen Strange;Wade Wilson;A;2
Qual e o nome da super-heroina conhecida como (Feiticeira Escarlate)?;Natasha Romanoff;Carol Danvers;Wanda Maximoff;Hope Van Dyne;C;2
Qual e o nome verdadeiro do Homem-Formiga?;Peter Parker;Scott Lang;Stephen Strange;Tony Stark;B;2
O que o Homem-Aranha dispara de seus lancadores?;Tinta;Agua;Teia;Fumaca;C;2
Quem e o rei de Wakanda?;Sam Wilson;Stephen Strange;T’Challa;Nick Fury;C;3
Qual e o nome do planeta natal do Thanos?;Vormir;Sakaar;Xandar;Titan;D;3
O que o soro do supersoldado fez com Steve Rogers?;Deu a ele poderes magicos;Tornou-o imortal;Transformou-o no Capitao America;Fez com que ele perdesse a memoria;C;3
Quem foi o criador original do Visao?;Tony Stark e Bruce Banner;Peter Quill;Hank Pym;Rocket Raccoon;A;3
Qual o nome do planeta natal de Gamora?;Xandar;Terra;Zen-Whoberi;Hala;C;3
Quem criou o vilao Ultron?;Tony Stark e Bruce Banner;Hank Pym;Reed Richards;Nick Fury;A;3
